system:index, MIN_B3, MIN_B3_5perc,MIN_B4,MIN_B4_5perc,SCENE_ID,TILE,.geo
5262,1041,2030.4451204746338,786,1949.5784877271537,L1C_T60CVV_A013538_20180124T200526,60CVV,
5263,773,1713.1479377624107,500,1583.7494661921708,L1C_T60CWU_A013538_20180124T200526,60CWU,
5264,1208,1486.1891573750113,975,1326.6260955388861,L1C_T60CWV_A013538_20180124T200526,60CWV,
5265,4647,5527.248366013071,4779,5751.078984485191,L1C_T50DNM_A013541_20180125T010524,50DNM,
5266,1715,2770.091720975138,1587,2782.977334770114,L1C_T50DPM_A013541_20180125T010524,50DPM,
5267,1460,4577.486923166337,1146,4447.046223564955,L1C_T50DPN_A013541_20180125T010524,50DPN,
5268,716,863.4268077601411,418,603.6951871657752,L1C_T51DVG_A013541_20180125T010524,51DVG,
5269,655,1886.7834987593058,392,1636.5295090594695,L1C_T51DVH_A013541_20180125T010524,51DVH,
5270,593,859.4445170850767,320,541.4884141331142,L1C_T51DWG_A013541_20180125T010524,51DWG,
5271,593,735.7798711172245,319,417.29821345056564,L1C_T51DWH_A013541_20180125T010524,51DWH,
5272,679,877.9487228915661,391,624.1453133465776,L1C_T46DEN_A013542_20180125T024550,46DEN,
5273,679,926.148540274358,391,670.582845348949,L1C_T46DFN_A013542_20180125T024550,46DFN,
5274,1081,2849.4342823425286,854,2912.5638254898,L1C_T47DMH_A013542_20180125T024550,47DMH,
5275,411,525.2810615031002,144,306.34197616453736,L1C_T47DNH_A013542_20180125T024550,47DNH,
5276,410,506.85553278688485,144,268.3310415412403,L1C_T47DNJ_A013542_20180125T024550,47DNJ,
5277,638,878.1846969479866,323,541.9190237395319,L1C_T41DPF_A013543_20180125T042724,41DPF,
5278,642,863.5526132503234,242,543.3556212193876,L1C_T42DVL_A013543_20180125T042724,42DVL,
5279,1128,4786.344054580897,828,4703.863347457627,L1C_T42DWK_A013543_20180125T042724,42DWK,
5280,812,1315.0150039484079,467,982.8318646457526,L1C_T42DWL_A013543_20180125T042724,42DWL,
5281,464,525.2715067496844,150,282.57899071715553,L1C_T42DXK_A013543_20180125T042724,42DXK,
5282,2490,3152.4105162523892,2344,3087.6900790166815,L1C_T24CWV_A013546_20180125T093006,24CWV,
5283,1640,2655.01094252552,1386,2528.897491909385,L1C_T25CDQ_A013546_20180125T093006,25CDQ,
5284,1687,2511.097274379164,1451,2352.8950055493897,L1C_T25CEQ_A013546_20180125T093006,25CEQ,
5285,3162,3665.293681294128,3120,3728.7129213802514,L1C_T25CER_A013546_20180125T093006,25CER,
5286,3387,4145.411986554071,3409,4240.033382984317,L1C_T26CMA_A013546_20180125T093006,26CMA,
5287,4067,4614.953846153845,4184,4790.450651302606,L1C_T26CMB_A013546_20180125T093006,26CMB,
5288,3942,4439.25419380304,4067,4614.353290957555,L1C_T26CNB_A013546_20180125T093006,26CNB,
5289,4354,5038.291305646847,4509,5295.2135842880525,L1C_T26CNC_A013546_20180125T093006,26CNC,
5290,2781,3440.299402390438,2735,3486.3649241146713,L1C_T27CVT_A013546_20180125T093006,27CVT,
5291,2339,3088.895504028539,2202,3086.265377855887,L1C_T27CVU_A013546_20180125T093006,27CVU,
5292,3162,4270.391563604241,3074,4332.475345167652,L1C_T27CWU_A013546_20180125T093006,27CWU,
5293,6408,6743.604321042764,6479,6895.640068152777,L1C_T27CWV_A013546_20180125T093006,27CWV,
5294,5848,6791.69381922115,5899,6959.63907608416,L1C_T27CXV_A013546_20180125T093006,27CXV,
5295,5853,6808.233300992611,5902,6961.427216954823,L1C_T28CDE_A013546_20180125T093006,28CDE,
5296,6002,6727.281548105752,5894,6741.942331801087,L1C_T28CEE_A013546_20180125T093006,28CEE,
5297,3364,4336.2329234972685,3424,4463.069088743299,L1C_T28DEF_A013546_20180125T093006,28DEF,
5298,805,1630.766076869621,498,1439.6575759773702,L1C_T28DEG_A013546_20180125T093006,28DEG,
5299,2841,4464.417769172851,2757,4622.199894625922,L1C_T28DFG_A013546_20180125T093006,28DFG,
5300,847,1616.4585204443397,510,1424.3781791374863,L1C_T29DMB_A013546_20180125T093006,29DMB,
5301,847,902.7589967284625,541,584.0807761732852,L1C_T29DMC_A013546_20180125T093006,29DMC,
5302,611,689.4514116767939,330,418.17999274920555,L1C_T29DNB_A013546_20180125T093006,29DNB,
5303,611,689.7617228910424,331,417.61304389548997,L1C_T29DNC_A013546_20180125T093006,29DNC,
5304,577,694.0103107626201,335,401.44024524423077,L1C_T29DPC_A013546_20180125T093006,29DPC,
5305,635,694.8382046506476,344,400.1193987667007,L1C_T30DVH_A013546_20180125T093006,30DVH,
5306,4612,4938.815023474178,4863,5239.015592515594,L1C_T26CMA_A004638_20180125T102143,26CMA,
5307,4647,5080.56348758465,4816,5352.462625628142,L1C_T26CMB_A004638_20180125T102143,26CMB,
5308,4647,4935.414549344745,4816,5174.618811881187,L1C_T26CNB_A004638_20180125T102143,26CNB,
5309,6204,7015.278833551769,6211,7175.521739130435,L1C_T20CPE_A013548_20180125T124901,20CPE,
5310,6825,7015.106031128404,7033,7238.886991770053,L1C_T20DNG_A013548_20180125T124901,20DNG,
5311,7041,7219.750651678071,7276,7496.2063459145575,L1C_T20DNH_A013548_20180125T124901,20DNH,
5312,7414,7959.5401989032425,7814,8327.59415712594,L1C_T20DNJ_A013548_20180125T124901,20DNJ,
5313,7433,7642.65902777778,7826,7985.9397849462375,L1C_T20DNK_A013548_20180125T124901,20DNK,
5314,6571,7623.063373718547,6686,7976.527314163149,L1C_T20DPF_A013548_20180125T124901,20DPF,
5315,6825,7065.748177601062,7033,7303.074865511058,L1C_T20DPG_A013548_20180125T124901,20DPG,
5316,7211,7388.015114873034,7432,7670.292184265009,L1C_T20DPH_A013548_20180125T124901,20DPH,
5317,6212,7015.858695652174,6214,7184.264111152462,L1C_T21CVV_A013548_20180125T124901,21CVV,
5318,6562,7576.482452431288,6679,7895.125662572722,L1C_T21DVA_A013548_20180125T124901,21DVA,
5319,6320,6839.921919479464,6317,6999.36107055961,L1C_T21DVJ_A013548_20180125T124901,21DVJ,
5320,3172,4335.213102409639,3074,4303.204072188801,L1C_T21DWJ_A013548_20180125T124901,21DWJ,
5321,3372,4431.917132216015,3292,4527.326547921968,L1C_T21DXJ_A013548_20180125T124901,21DXJ,
5322,563,1839.0175636480828,312,1776.550301098123,L1C_T21EXK_A013548_20180125T124901,21EXK,
5323,519,557.7327425185491,284,307.23921365684055,L1C_T21EXL_A013548_20180125T124901,21EXL,
5324,570,1838.334903192046,314,1741.5619976056093,L1C_T22ECQ_A013548_20180125T124901,22ECQ,
5325,512,558.1706128173082,287,307.20088689744495,L1C_T22ECR_A013548_20180125T124901,22ECR,
5326,2682,4975.702212806025,2642,5200.94894982497,L1C_T10CED_A013550_20180125T161336,10CED,
5327,584,727.7318224123572,319,409.05068985427295,L1C_T11CMU_A013550_20180125T161336,11CMU,
5328,535,563.6848429479485,292,312.309728125989,L1C_T11CNU_A013550_20180125T161336,11CNU,
